Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
22,-0.3384719491004944,-2.660332679748535,40.85824966430664,3.165547735916291,67.90466714227698,-88.04504940620878,-4.7916803,5.484685,-6.57867,9.221178,-24.331993,-1.0727744,-2.161015,-8.000394,-4.785265,10.023749,-13.169954,11.477567,-0.519246,-1.3535706,26.961807,-84.756355,23.3202,-60.965992,80.91478,21.529007,-4.8160114,71.17919,-81.273506,-26.205803,51.061172,75.60543,-16.371265,-4.645651,-70.12101
23,-0.3517966866493225,-2.6598663330078125,40.84442901611328,3.181803581682191,67.90508531010546,-88.03604627487107,-4.7819724,5.4884334,-6.5722513,9.219439,-24.347008,-1.0761472,-2.1482487,-7.9996033,-4.780768,10.016007,-13.198217,11.4882965,-0.5118214,-1.3667543,26.939236,-84.741844,23.310976,-60.963184,80.923515,21.531244,-4.8267255,71.1756,-81.23875,-26.201326,51.03058,75.57767,-16.403423,-4.6171455,-70.12307
24,-0.3652394115924835,-2.659057378768921,40.83236312866211,3.1930063501852364,67.90600560054624,-88.03277368327362,-4.770893,5.4925094,-6.5645547,9.215512,-24.361832,-1.0828875,-2.1359036,-7.9982133,-4.7756824,10.008182,-13.226344,11.4916115,-0.5010139,-1.3795769,26.919521,-84.7301,23.304724,-60.960037,80.93019,21.533518,-4.8384156,71.17325,-81.21561,-26.1976,51.01519,75.55849,-16.418285,-4.5956388,-70.125
25,-0.3777178227901459,-2.6603245735168457,40.818843841552734,3.1959082768291767,67.90894354706838,-88.03824486519794,-4.759544,5.497929,-6.554161,9.207151,-24.3757,-1.0953728,-2.1311321,-7.99557,-4.767583,10.009468,-13.258434,11.483008,-0.4922315,-1.3993962,26.889845,-84.71045,23.297754,-60.949738,80.95,21.548218,-4.8528337,71.1774,-81.168045,-26.193115,50.984642,75.51891,-16.444742,-4.574221,-70.13479
26,-0.39251893758773804,-2.660613536834717,40.80514907836914,3.1929300162116885,67.91207178637806,-88.04988287448487,-4.7472,5.5044293,-6.5422525,9.196865,-24.38978,-1.1118191,-2.1277122,-7.9920382,-4.7580786,10.01229,-13.291766,11.466162,-0.47985017,-1.419237,26.861536,-84.69337,23.288038,-60.937073,80.97189,21.564295,-4.8676147,71.18258,-81.12593,-26.186615,50.95469,75.486336,-16.466967,-4.5587277,-70.14384
27,-0.4060271680355072,-2.6610617637634277,40.791988372802734,3.1879465596206003,67.91532589497467,-88.06466701061788,-4.7336783,5.509947,-6.530021,9.185326,-24.403101,-1.1281098,-2.1245916,-7.9892693,-4.7488937,10.016159,-13.325669,11.448635,-0.4679674,-1.4367473,26.833284,-84.67442,23.280602,-60.92457,80.9908,21.57781,-4.88274,71.18821,-81.08591,-26.181133,50.93465,75.45449,-16.4819,-4.545365,-70.15394
28,-0.4192243814468384,-2.6599316596984863,40.77737045288086,3.185307037202399,67.91822750456468,-88.07905141564807,-4.719888,5.5126557,-6.5187488,9.175356,-24.414898,-1.1402668,-2.1192155,-7.989765,-4.7422075,10.017551,-13.357888,11.438412,-0.45763704,-1.4567358,26.80348,-84.655365,23.268251,-60.912704,81.01402,21.596302,-4.8965073,71.192444,-81.04386,-26.171423,50.911316,75.424774,-16.503523,-4.5316963,-70.16609
29,-0.4283352196216583,-2.66281795501709,40.76317596435547,3.186789886540782,67.9214697487066,-88.09271902860108,-4.706332,5.510444,-6.5096555,9.167621,-24.42495,-1.1456856,-2.1117456,-7.9955497,-4.7389627,10.01782,-13.389534,11.440245,-0.4478795,-1.4806548,26.775967,-84.63845,23.261112,-60.911617,81.03107,21.61233,-4.911714,71.192505,-81.009674,-26.164965,50.907833,75.3956,-16.506737,-4.5198207,-70.17887
30,-0.4412541687488556,-2.6637532711029053,40.7465934753418,3.190228361024937,67.92499346776125,-88.1071202561249,-4.691044,5.504757,-6.5016437,9.157643,-24.431654,-1.1469766,-2.099289,-8.0049715,-4.7383585,10.00955,-13.41642,11.449057,-0.44122687,-1.5052704,26.746407,-84.61792,23.254845,-60.912155,81.044975,21.628881,-4.926028,71.19117,-80.9703,-26.158228,50.906086,75.36148,-16.511705,-4.508999,-70.19418
31,-0.4547283947467804,-2.666375160217285,40.73164749145508,3.192615320691692,67.92697626317978,-88.12212728268877,-4.675416,5.4996395,-6.4932594,9.151107,-24.439878,-1.1479094,-2.0861874,-8.013772,-4.738907,10.003447,-13.444285,11.457762,-0.4324881,-1.5262436,26.72372,-84.601204,23.251825,-60.91263,81.05179,21.642645,-4.9388747,71.18849,-80.94087,-26.154192,50.90558,75.33362,-16.516966,-4.499484,-70.20627
32,-0.4680072069168091,-2.668917179107666,40.71602249145508,3.1916576276103044,67.92691968071905,-88.13767356812048,-4.6582856,5.498314,-6.482548,9.145747,-24.449982,-1.1522248,-2.0736175,-8.018934,-4.7398486,10.001748,-13.4741335,11.459431,-0.4214645,-1.5481504,26.696104,-84.57679,23.24586,-60.913845,81.062256,21.65442,-4.948353,71.19053,-80.89857,-26.145267,50.894417,75.30591,-16.527044,-4.4824123,-70.222496
33,-0.4815281927585602,-2.670593500137329,40.70229721069336,3.1834238389526597,67.92257310989841,-88.15620320342748,-4.638947,5.503154,-6.46758,9.145124,-24.464808,-1.1623015,-2.0601704,-8.017647,-4.7402325,10.005616,-13.507463,11.450083,-0.40275216,-1.5579135,26.681536,-84.55788,23.242785,-60.90788,81.06222,21.658401,-4.954491,71.194145,-80.87216,-26.140268,50.876175,75.29578,-16.544855,-4.4636717,-70.23234
34,-0.4932153522968292,-2.671332597732544,40.690032958984375,3.1703350367247025,67.91555995693649,-88.17708522912193,-4.618329,5.5119076,-6.4495087,9.147741,-24.482487,-1.1757855,-2.046225,-8.012649,-4.740403,10.012975,-13.54302,11.434247,-0.38020778,-1.5737525,26.665813,-84.53741,23.232834,-60.896645,81.07058,21.671907,-4.9566097,71.200424,-80.831924,-26.124804,50.809402,75.28961,-16.60267,-4.440824,-70.24387
35,-0.5072518587112427,-2.6703073978424072,40.677978515625,3.1591250031901676,67.90762606961187,-88.19489904289226,-4.597356,5.5212917,-6.4324827,9.151272,-24.50031,-1.1891193,-2.031046,-8.006453,-4.742912,10.020313,-13.577233,11.417068,-0.3568883,-1.5829569,26.655046,-84.51943,23.226252,-60.89017,81.07304,21.67496,-4.958645,71.20702,-80.80418,-26.114859,50.769577,75.288765,-16.63512,-4.418782,-70.25298
36,-0.520498514175415,-2.6724660396575928,40.66402816772461,3.1564927053210248,67.9004849315872,-88.204258697599,-4.5789027,5.5282936,-6.4211335,9.155373,-24.51616,-1.1990316,-2.0154402,-8.002118,-4.7500033,10.026456,-13.608458,11.403799,-0.34193033,-1.5927933,26.642315,-84.5018,23.221375,-60.89094,81.08124,21.673372,-4.962082,71.21323,-80.77307,-26.107037,50.739773,75.27963,-16.65995,-4.400948,-70.26332
37,-0.5343791246414185,-2.6749629974365234,40.65169906616211,3.1671453668196965,67.8947634848644,-88.20054075850238,-4.5630884,5.5320644,-6.4180512,9.158593,-24.529314,-1.203909,-1.998299,-8.000382,-4.764103,10.029541,-13.635133,11.396014,-0.33618894,-1.6149336,26.625181,-84.49229,23.208038,-60.918945,81.11331,21.660519,-4.9679713,71.21801,-80.74178,-26.084372,50.71782,75.273285,-16.66734,-4.3899455,-70.27802
38,-0.5460264086723328,-2.679535150527954,40.63933563232422,3.1864308830415795,67.88924812063148,-88.18760849401619,-4.5492344,5.5342712,-6.420788,9.162624,-24.541296,-1.2058103,-1.979635,-7.999315,-4.783603,10.030903,-13.658666,11.390708,-0.33759165,-1.629329,26.607939,-84.47847,23.20083,-60.946472,81.1401,21.643196,-4.9744797,71.22284,-80.71539,-26.069479,50.72942,75.2618,-16.648207,-4.382232,-70.29276
39,-0.5597782135009766,-2.6825015544891357,40.62672424316406,3.2074116965074517,67.8840137482039,-88.17314228001216,-4.536776,5.535543,-6.424097,9.168556,-24.5527,-1.2067,-1.96329,-7.999092,-4.8033814,10.036403,-13.682842,11.386965,-0.3414848,-1.6414578,26.591396,-84.463234,23.197073,-60.97096,81.16215,21.627007,-4.9810705,71.22834,-80.68569,-26.058836,50.741314,75.24178,-16.6308,-4.3746476,-70.30555
40,-0.5724145174026489,-2.6854794025421143,40.61434555053711,3.2235805779049462,67.87930947676824,-88.16427333851736,-4.5236425,5.5370107,-6.4227204,9.17372,-24.56122,-1.20865,-1.9473633,-7.9990554,-4.819502,10.040014,-13.705048,11.383601,-0.34354532,-1.6528412,26.575401,-84.44682,23.195024,-60.988438,81.17823,21.613981,-4.9875565,71.2364,-80.654976,-26.050396,50.74503,75.2188,-16.62488,-4.364329,-70.315155
41,-0.584003746509552,-2.690701961517334,40.60286331176758,3.2323918878053948,67.87498899045896,-88.16382600686033,-4.509889,5.538641,-6.414261,9.179919,-24.567995,-1.2117145,-1.9329987,-7.99926,-4.8308454,10.043484,-13.726427,11.38173,-0.3445943,-1.6695005,26.557943,-84.43006,23.192122,-61.006863,81.19207,21.600634,-4.9923596,71.24935,-80.62243,-26.030293,50.730022,75.19924,-16.639927,-4.3487816,-70.32068
42,-0.595753014087677,-2.694317579269409,40.590946197509766,3.237729651936923,67.87099410185995,-88.16769022494202,-4.4958725,5.539836,-6.4016194,9.186303,-24.572536,-1.2150367,-1.9213265,-8.000111,-4.839599,10.050918,-13.749128,11.381531,-0.34553215,-1.6840954,26.541542,-84.41116,23.191246,-61.012745,81.198135,21.595793,-4.9969983,71.26524,-80.59129,-26.009483,50.70889,75.177956,-16.667223,-4.331143,-70.32078
43,-0.6079890727996826,-2.698275089263916,40.57891082763672,3.2420720193393326,67.86747242836464,-88.17279421907298,-4.4830875,5.5408306,-6.388235,9.194835,-24.576872,-1.2190489,-1.9114985,-8.001271,-4.8458886,10.060136,-13.771263,11.380374,-0.34476584,-1.695087,26.525896,-84.39002,23.19179,-61.00927,81.1989,21.596941,-5.0015,71.280846,-80.55696,-25.997429,50.686657,75.14876,-16.698019,-4.311733,-70.32086
44,-0.6188451647758484,-2.7026326656341553,40.56792068481445,3.248689431232627,67.86480875559914,-88.17600756525968,-4.471093,5.5413537,-6.377435,9.201856,-24.579329,-1.2244017,-1.904401,-8.002745,-4.849466,10.07246,-13.79333,11.375712,-0.34364742,-1.7126178,26.509815,-84.369484,23.194248,-61.004814,81.20437,21.604603,-5.0066886,71.29112,-80.528564,-25.970833,50.65073,75.13363,-16.735243,-4.293065,-70.32791
45,-0.6308631300926208,-2.7059621810913086,40.55762481689453,3.258358830141148,67.86306444142272,-88.1771777116345,-4.4606285,5.5407104,-6.3696213,9.208453,-24.57992,-1.2314423,-1.8991201,-8.005628,-4.849714,10.086031,-13.81461,11.366175,-0.33895883,-1.7224973,26.495317,-84.34767,23.195217,-60.99166,81.20973,21.615484,-5.012479,71.29554,-80.49832,-25.961113,50.62395,75.11102,-16.763271,-4.275821,-70.34229
46,-0.6414146423339844,-2.7098233699798584,40.5485954284668,3.269835261617686,67.8620554957552,-88.1774699358932,-4.4507847,5.5390286,-6.3632135,9.21393,-24.57832,-1.2398698,-1.8970499,-8.009406,-4.8467374,10.103576,-13.836178,11.353241,-0.33418718,-1.7424923,26.479244,-84.3243,23.197708,-60.96943,81.22078,21.643616,-5.018348,71.29455,-80.46889,-25.933315,50.563705,75.102425,-16.815311,-4.259772,-70.36337
47,-0.6563472151756287,-2.714895725250244,40.53984832763672,3.281449642412713,67.86166929215928,-88.17665525162766,-4.4421067,5.53817,-6.3583016,9.219563,-24.57655,-1.2489977,-1.8956169,-8.012192,-4.842632,10.121604,-13.856779,11.33901,-0.32732064,-1.7553917,26.464466,-84.301895,23.198671,-60.946117,81.229675,21.668196,-5.025347,71.29357,-80.44076,-25.918106,50.522564,75.086334,-16.853128,-4.241334,-70.38584
48,-0.6704357266426086,-2.721115827560425,40.526859283447266,3.292152495566649,67.86177202998844,-88.174006991797,-4.434236,5.539855,-6.355073,9.224886,-24.575768,-1.258331,-1.8940609,-8.011697,-4.8390465,10.139706,-13.876201,11.325333,-0.3269403,-1.770456,26.446594,-84.277855,23.200811,-60.917694,81.24299,21.698788,-5.034717,71.29566,-80.41628,-25.882727,50.47187,75.081505,-16.907845,-4.2197313,-70.41012
49,-0.6842692494392395,-2.726409435272217,40.51612091064453,3.30476099416694,67.8628892755169,-88.16550040761147,-4.428181,5.5443835,-6.3556614,9.230325,-24.577337,-1.2679908,-1.8913547,-8.007385,-4.8376317,10.155728,-13.89323,11.311952,-0.3274468,-1.7774229,26.428036,-84.254005,23.201956,-60.88532,81.251686,21.729155,-5.047022,71.30233,-80.38427,-25.864454,50.435284,75.05566,-16.957302,-4.190819,-70.43422
50,-0.6941685676574707,-2.7315661907196045,40.5052375793457,3.3187647114973355,67.86491668550849,-88.15278096626952,-4.42412,5.5511827,-6.359448,9.235231,-24.579332,-1.27839,-1.8893918,-8.000018,-4.8368654,10.17378,-13.910362,11.297926,-0.32955903,-1.7825117,26.408543,-84.230415,23.202898,-60.84792,81.25993,21.764051,-5.0617847,71.31092,-80.34973,-25.848349,50.39889,75.02255,-17.01095,-4.1572084,-70.45973
51,-0.7038233876228333,-2.737175703048706,40.49507141113281,3.3281590483956704,67.86668567185559,-88.14362766783502,-4.4188232,5.5597563,-6.361776,9.239558,-24.581417,-1.2885821,-1.8864503,-7.9907146,-4.8346753,10.189652,-13.924914,11.284969,-0.3294769,-1.7853782,26.390444,-84.209175,23.20339,-60.819027,81.26777,21.790693,-5.0770516,71.32084,-80.31522,-25.8389,50.37261,74.98493,-17.056776,-4.1227016,-70.48347
52,-0.7147713303565979,-2.7434499263763428,40.4846076965332,3.3263577437234835,67.8672369142757,-88.14643669041101,-4.4108276,5.569821,-6.357836,9.244174,-24.58278,-1.2977684,-1.8820634,-7.980297,-4.8290706,10.201425,-13.935545,11.274539,-0.329783,-1.7889717,26.37179,-84.18245,23.205416,-60.779903,81.27634,21.827015,-5.0905013,71.331345,-80.2824,-25.814571,50.33423,74.96054,-17.115778,-4.090644,-70.50377
53,-0.7263259291648865,-2.749140739440918,40.47482681274414,3.3065698832985952,67.86524333732619,-88.16767731024296,-4.398898,5.582794,-6.344768,9.25239,-24.585667,-1.3049067,-1.8752857,-7.967324,-4.817654,10.209244,-13.941976,11.268537,-0.32095507,-1.7870636,26.360966,-84.16426,23.20615,-60.771248,81.28558,21.830032,-5.101996,71.34232,-80.25256,-25.807884,50.323105,74.92825,-17.144955,-4.0598598,-70.51479
54,-0.7362127304077148,-2.755326271057129,40.466041564941406,3.274478339142396,67.862229914896,-88.20121382901135,-4.3837175,5.5982866,-6.32565,9.259846,-24.587893,-1.3108,-1.8664768,-7.9518466,-4.802369,10.212294,-13.944056,11.2655,-0.3138742,-1.7914888,26.346037,-84.138275,23.210798,-60.76539,81.29703,21.835035,-5.1117244,71.35524,-80.22184,-25.778307,50.301254,74.908844,-17.18582,-4.0272384,-70.52461
